"Category","Subcategory","Enrichment","P-value","P-adjusted","Q-value","Observed","miRNAs/precursors"
"Target genes (miRTarBase)","MAPK9","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MAPRE3","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MASTL","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MAVS","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MCC","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MECP2","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MED17","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MED18","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MELK","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","METTL8","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MFN1","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MFSD2A","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MFSD8","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MIDN","enriched","0.0010047","0.0189655","0.0189655","8","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-222-3p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-658; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MINK1","enriched","0.0017805","0.0189655","0.0189655","9","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-222-3p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p; hsa-miR-194-3p"
"Target genes (miRTarBase)","MINOS1-NBL1","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MIXL1","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MKNK2","enriched","0.0017805","0.0189655","0.0189655","9","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-363-3p; hsa-miR-302c-3p; hsa-miR-106b-5p; hsa-miR-194-3p"
"Target genes (miRTarBase)","MORC1","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MORF4L1","enriched","1.13e-4","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-222-3p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MPPE1","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MRPS10","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MSH3","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MTF1","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MYLIP","enriched","1.39e-4","0.0189655","0.0189655","9","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-222-3p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-363-3p; hsa-miR-374b-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MYLK3","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MYO1D","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","MYPN","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","NABP1","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","NAGK","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","NARS","enriched","0.0010047","0.0189655","0.0189655","8","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-222-3p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p; hsa-miR-892a"
"Target genes (miRTarBase)","NBL1","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","NEK8","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","NETO2","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","NFIB","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","NIN","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","NIPA1","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","NKIRAS1","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","NPAT","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","NPNT","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","NR2C2","enriched","9.08e-4","0.0189655","0.0189655","8","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-374b-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","NR2F6","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","NRBP1","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","NUGGC","enriched","3.81e-4","0.0189655","0.0189655","8","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-363-3p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","OCIAD1","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","OLAH","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","OSTM1","enriched","9.08e-4","0.0189655","0.0189655","8","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-374b-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","PAK6","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","PAPD5","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","PCBP2","enriched","1.13e-4","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-222-3p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","PCLAF","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","PDE4C","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","PDHB","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","PDPK1","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","PDRG1","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","PEA15","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","PFKFB2","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","PFKP","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","PHTF2","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","PITPNA","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","PLEKHM1","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","PLS1","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","POLM","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","POLR3A","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","POLR3F","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","PPP2R1A","enriched","3.67e-4","0.0189655","0.0189655","4","hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-222-3p; hsa-miR-106a-5p"
"Target genes (miRTarBase)","PPP6C","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-222-3p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","PPP6R3","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","PRICKLE4","enriched","1.13e-4","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-222-3p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","PRKACB","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","PRRG4","enriched","0.0017805","0.0189655","0.0189655","9","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-363-3p; hsa-miR-302c-3p; hsa-miR-130b-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","PTEN","enriched","0.0010385","0.0189655","0.0189655","9","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-222-3p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-18a-5p; hsa-miR-548d-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","PTGFRN","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","PTGIS","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","PTP4A1","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","PTPDC1","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","PURB","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","PXK","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","QKI","enriched","0.0010047","0.0189655","0.0189655","8","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-222-3p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-148a-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","QSOX1","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","RAB11FIP1","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","RAB42","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","RAB5B","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","RABGAP1L","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","RAN","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","RAP2C","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","RBM12B","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","RBM20","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","RBM41","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","REST","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","RFK","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","RFXAP","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","RHOC","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","RMND1","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","RNF34","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","RPF2","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","RPL14","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","RPL17-C18orf32","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","RPS27A","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","RRAS2","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","RRN3","enriched","7.95e-4","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-363-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","RTN2","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","RUFY2","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","SALL3","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","SAMD12","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","SAMD8","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","SCAMP2","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
