"","total","expected","hits","Raw p","Holm p","FDR"
"Lovastatin Action Pathway",43,0.422,1,0.347,1,1
"Pamidronate Action Pathway",43,0.422,1,0.347,1,1
"Pravastatin Action Pathway",43,0.422,1,0.347,1,1
"Risedronate Action Pathway",43,0.422,1,0.347,1,1
"Rosuvastatin Action Pathway",43,0.422,1,0.347,1,1
"Simvastatin Action Pathway",43,0.422,1,0.347,1,1
"Zoledronate Action Pathway",43,0.422,1,0.347,1,1
"Cellular response to chemical stress",44,0.432,1,0.353,1,1
"Fluvastatin Action Pathway",44,0.432,1,0.353,1,1
"Cholesterol metabolism with Bloch and Kandutsch-Russell pathways",44,0.432,1,0.353,1,1
"Digestion and absorption",45,0.441,1,0.36,1,1
"Integration of energy metabolism",45,0.441,1,0.36,1,1
"Metabolism of porphyrins",45,0.441,1,0.36,1,1
"Metabolism of cofactors",47,0.461,1,0.372,1,1
"Warburg Effect",47,0.461,1,0.372,1,1
"Interconversion of nucleotide di- and triphosphates",49,0.481,1,0.385,1,1
"Adaptive Immune System",53,0.52,1,0.409,1,1
"Glycerophospholipid biosynthetic pathway",54,0.53,1,0.415,1,1
"Metabolism of carbohydrates",146,1.43,2,0.423,1,1
"Nicotinate metabolism",56,0.549,1,0.426,1,1
"Generic Transcription Pathway",58,0.569,1,0.438,1,1
"Glycosaminoglycan metabolism",58,0.569,1,0.438,1,1
"The citric acid (TCA) cycle and respiratory electron transport",58,0.569,1,0.438,1,1
"Leukotriene C4 Synthesis Deficiency",60,0.589,1,0.449,1,1
"Rofecoxib Action Pathway",60,0.589,1,0.449,1,1
"Salicylate-sodium Action Pathway",60,0.589,1,0.449,1,1
"Trisalicylate-choline Action Pathway",60,0.589,1,0.449,1,1
"Acetaminophen  Action Pathway",61,0.598,1,0.454,1,1
"Acetylsalicylic Acid Action Pathway",61,0.598,1,0.454,1,1
"Antipyrine Action Pathway",61,0.598,1,0.454,1,1
"Antrafenine Action Pathway",61,0.598,1,0.454,1,1
"Bromfenac Action Pathway",61,0.598,1,0.454,1,1
"Carprofen Action Pathway",61,0.598,1,0.454,1,1
"Diflunisal Action Pathway",61,0.598,1,0.454,1,1
"Etodolac Action Pathway",61,0.598,1,0.454,1,1
"Etoricoxib Action Pathway",61,0.598,1,0.454,1,1
"Fenoprofen Action Pathway",61,0.598,1,0.454,1,1
"Flurbiprofen Action Pathway",61,0.598,1,0.454,1,1
"Indomethacin Action Pathway",61,0.598,1,0.454,1,1
"Ketoprofen Action Pathway",61,0.598,1,0.454,1,1
"Ketorolac Action Pathway",61,0.598,1,0.454,1,1
"Lornoxicam Action Pathway",61,0.598,1,0.454,1,1
"Lumiracoxib Action Pathway",61,0.598,1,0.454,1,1
"Magnesium salicylate Action Pathway",61,0.598,1,0.454,1,1
"Mefenamic Acid Action Pathway",61,0.598,1,0.454,1,1
"Meloxicam Action Pathway",61,0.598,1,0.454,1,1
"Nabumetone Action Pathway",61,0.598,1,0.454,1,1
"Nepafenac Action Pathway",61,0.598,1,0.454,1,1
"Oxaprozin Action Pathway",61,0.598,1,0.454,1,1
"Phenylbutazone Action Pathway",61,0.598,1,0.454,1,1
"Salicylic Acid Action Pathway",61,0.598,1,0.454,1,1
"Salsalate Action Pathway",61,0.598,1,0.454,1,1
"Sulindac Action Pathway",61,0.598,1,0.454,1,1
"Suprofen Action Pathway",61,0.598,1,0.454,1,1
"Tenoxicam Action Pathway",61,0.598,1,0.454,1,1
"Tiaprofenic Acid Action Pathway",61,0.598,1,0.454,1,1
"Tolmetin Action Pathway",61,0.598,1,0.454,1,1
"Valdecoxib Action Pathway",61,0.598,1,0.454,1,1
"Diclofenac Action Pathway",62,0.608,1,0.46,1,1
"Naproxen Action Pathway",62,0.608,1,0.46,1,1
"Piroxicam Action Pathway",62,0.608,1,0.46,1,1
"Arachidonic Acid Metabolism",63,0.618,1,0.465,1,1
"Vesicle-mediated transport",63,0.618,1,0.465,1,1
"Mitochondrial Fatty Acid Beta-Oxidation",63,0.618,1,0.465,1,1
"Synthesis of substrates in N-glycan biosythesis",64,0.628,1,0.47,1,1
"Amine ligand-binding receptors",65,0.638,1,0.476,1,1
"RNA Polymerase II Transcription",66,0.648,1,0.481,1,1
"Celecoxib Action Pathway",66,0.648,1,0.481,1,1
"Ibuprofen Action Pathway",69,0.677,1,0.496,1,1
"tRNA modification in the nucleus and cytosol",77,0.755,1,0.535,1,1
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",77,0.755,1,0.535,1,1
"Gene expression (Transcription)",79,0.775,1,0.544,1,1
"tRNA processing",84,0.824,1,0.567,1,1
"Infectious disease",195,1.91,2,0.577,1,1
"Nucleobase catabolism",101,0.991,1,0.635,1,1
"Nucleotide catabolism",104,1.02,1,0.646,1,1
"Metabolism of RNA",106,1.04,1,0.653,1,1
"Asparagine N-linked glycosylation",109,1.07,1,0.663,1,1
